Модель,"Объём памяти, Гб","Диагональ экрана, дюйм",Цвет,Число ядер,"RAM, Гб",SIM,Разрешение экрана,"Основная камера, Мп","Емкость аккумулятора, мА*ч","Цена, руб.","Цена (без скидки), руб."
14 Pro,128,6.1,фиолетовый,6,,,2556x1179,48+12+12,,104 399,113 499
14 Pro,128,6.1,черный,6,,,2556x1179,48+12+12,,104 399,113 499
13 Pro Max,128,6.7,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,104 899,113 999
13 Pro Max,128,6.7,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,104 899,113 999
13 Pro Max,128,6.7,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,104 899,113 999
13 Pro Max,128,6.7,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,104 899,113 999
14 Plus,512,6.7,белый,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,104 899,113 999
14 Plus,512,6.7,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,104 899,113 999
14 Plus,512,6.7,красный,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,104 899,113 999
14 Plus,512,6.7,красный,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,104 899,113 999
14 Plus,512,6.7,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,104 899,113 999
14 Plus,512,6.7,черный,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,104 899,113 999
13 Pro,128,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,106 699,115 999
13 Pro,128,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,106 699,115 999
13 Pro,128,6.1,зеленый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,106 699,115 999
13 Pro,128,6.1,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,106 699,115 999
13 Pro,128,6.1,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,106 699,115 999
13 Pro,128,6.1,серый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,106 699,115 999
14 Pro,128,6.1,золотистый,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,золотистый,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,золотистый,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,золотистый,6,,2,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,серебристый,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,серебристый,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,серебристый,6,,2,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,серебристый,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,фиолетовый,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,фиолетовый,6,,2,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,фиолетовый,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,черный,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,черный,6,,1,2556x1179,48+12+12,,107 199,116 499
14 Pro,128,6.1,черный,6,,2,2556x1179,48+12+12,,107 199,116 499
13,512,6.1,красный,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,107 599,116 999
14 Pro Max,128,6.7,золотистый,6,,,2796x1290,48+12+12,,110 399,119 999
14 Pro Max,128,6.7,серебристый,6,,,2796x1290,48+12+12,,110 399,119 999
14 Pro Max,128,6.7,фиолетовый,6,,,2796x1290,48+12+12,,110 399,119 999
14 Pro Max,128,6.7,черный,6,,,2796x1290,48+12+12,,110 399,119 999
14 Pro,256,6.1,золотистый,6,,,2556x1179,48+12+12,,110 899,120 499
14 Pro,256,6.1,фиолетовый,6,,,2556x1179,48+12+12,,110 899,120 499
14 Pro,256,6.1,черный,6,,1,2556x1179,48+12+12,,110 899,120 499
14 Pro,256,6.1,черный,6,,,2556x1179,48+12+12,,110 899,120 499
13 Pro,256,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,114 099,123 999
13 Pro,256,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,114 099,123 999
13 Pro,256,6.1,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,114 099,123 999
13 Pro,256,6.1,серый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,114 099,123 999
14 Pro Max,128,6.7,золотистый,6,,2,2796x1290,48+12+12,,114 099,123 999
14 Pro Max,128,6.7,золотистый,6,,1,2796x1290,48+12+12,,114 099,123 999
14 Pro Max,128,6.7,серебристый,6,,2,2796x1290,48+12+12,,114 099,123 999
14 Pro Max,128,6.7,серебристый,6,,1,2796x1290,48+12+12,,114 099,123 999
14 Pro Max,128,6.7,серебристый,6,,1,2796x1290,48+12+12,,114 099,123 999
14 Pro Max,128,6.7,фиолетовый,6,,2,2796x1290,48+12+12,,114 099,123 999
14 Pro Max,128,6.7,фиолетовый,6,,1,2796x1290,48+12+12,,114 099,123 999
